YrFireName,Fire,Dataset,N,yr_fire,Latitude,Longitude,Elevation,month_fire,day_fire,Fire_type,State,Sample_design,Plot_size_ha,Threshold_diameter_cm,Study_purpose,,,,
2001 - Southeastern Piedmont Clemson SC 70,Southeastern Piedmont Clemson SC 70,McIver,418,2001,34.751995,-82.86747,261,NA,NA,RX,South Carolina,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - Southern Cascades Goosenest CA 174,Southern Cascades Goosenest CA 174,McIver,183,2001,41.546267,-121.886756,1634,NA,NA,RX,California,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - Southern Cascades Goosenest CA 178,Southern Cascades Goosenest CA 178,McIver,181,2001,41.567499,-121.846801,1721,NA,NA,RX,California,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - Southern Cascades Goosenest CA 179,Southern Cascades Goosenest CA 179,McIver,124,2001,41.587254,-121.84165,1599,NA,NA,RX,California,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - Southern Sierra Nevada Sequoia CA 1,Southern Sierra Nevada Sequoia CA 1,McIver,357,2001,36.594554,-118.747037,2145,NA,NA,RX,California,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - Southern Sierra Nevada Sequoia CA 4,Southern Sierra Nevada Sequoia CA 4,McIver,382,2001,36.585667,-118.754907,2010,NA,NA,RX,California,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - Southern Sierra Nevada Sequoia CA 5,Southern Sierra Nevada Sequoia CA 5,McIver,374,2001,36.58582,-118.759225,2027,NA,NA,RX,California,Fixed-area plot,0.1,10,Forest Dynamics; Fuel Treatment Effects,,,,
2001 - Star,Star,Hood,273,2001,39.098569,-120.489529,1470,NA,NA,Wild,California,Individual tree,NA,25,Fire-insect Interactions; Tree Mortality,,,,
2001 - Stone,Stone,Smith,39,2001,44.58768,-110.296762,2424,8,23,Wild,Wyoming,Fixed-area plot,0.125,2.5,Fire Effects; Forest Dynamics; Tree Mortality,,,,
2001 - Sulphur,Sulphur,Smith,66,2001,44.656816,-110.424855,2522,8,22,Wild,Wyoming,Fixed-area plot,0.125,2.5,Fire Effects; Forest Dynamics; Tree Mortality,,,,
2001 - Swain,Swain,Hood,134,2001,40.675351,-121.260944,1657,NA,NA,RX,California,Individual tree,NA,25,Fire-insect Interactions; Tree Mortality,,,,
2001 - WHIS Sunshine-D,WHIS Sunshine-D,NPS,15,2001,40.634964,-122.525649,668,NA,NA,Wild,California,Fixed-area plot,0.1,15.1,Forest Dynamics; Fuel Treatment Effects,,,,
2002 - Apple,Apple,Progar,439,2002,43.262022,-122.662311,1045,8,1,Wild,Oregon,Variable radius plot,not available; BAF varied to sample at least 8 trees perplot,not available,Fire-insect Interactions; Tree Mortality,,,,
2002 - Biscuit,Biscuit,Progar,834,2002,42.296835,-123.915041,751,8,1,Wild,Oregon,Variable radius plot,not available; BAF varied to sample at least 8 trees perplot,not available,Fire-insect Interactions; Tree Mortality,,,,
2002 - Blodgett 129 - 60,Blodgett 129 - 60,Kobziar,389,2002,38.917301,-120.663926,1343,11,5,RX,California,Nested fixed-area plot,0.0405 and 0.00405,11.5 and 0.1,Forest Dynamics; Fuel Treatment Effects,,,,
2002 - Blodgett 130 - 340,Blodgett 130 - 340,Kobziar,437,2002,38.898208,-120.654451,1389,11,1,RX,California,Nested fixed-area plot,0.0405 and 0.00405,11.5 and 0.1,Forest Dynamics; Fuel Treatment Effects,,,,
2002 - Blodgett 131 - 400,Blodgett 131 - 400,Kobziar,471,2002,38.896655,-120.648911,1380,11,3,RX,California,Nested fixed-area plot,0.0405 and 0.00405,11.5 and 0.1,Forest Dynamics; Fuel Treatment Effects,,,,
2002 - Borrego,Borrego,Cram,251,2002,35.990224,-105.792689,2554,5,22,Wild,New Mexico,Variable radius plot,2.296,not available,Fuel Treatment Effects,,,,
2002 - Cone,Cone,Hood,1065,2002,40.751718,-121.158182,1799,9,NA,Wild,California,Individual tree,NA,25,Fire-insect Interactions; Tree Mortality,,,,
2002 - Crater-FB-B,Crater-FB-B,Perrakis,32,2002,42.802901,-122.08235,1480,10,10,RX,Oregon,Fixed-area plot,0.06; three 0.2 ha subplots,5,Fuel Treatment Effects; Tree Mortality,,,,
2002 - Crater-FB-H,Crater-FB-H,Perrakis,85,2002,42.802901,-122.08235,1480,10,10,RX,Oregon,Fixed-area plot,0.06; three 0.2 ha subplots,5,Fuel Treatment Effects; Tree Mortality,,,,
2002 - Crater-FB-J,Crater-FB-J,Perrakis,118,2002,42.802901,-122.08235,1480,10,9,RX,Oregon,Fixed-area plot,0.06; three 0.2 ha subplots,5,Fuel Treatment Effects; Tree Mortality,,,,
2002 - Crater-FB-L,Crater-FB-L,Perrakis,48,2002,42.802901,-122.08235,1480,10,9,RX,Oregon,Fixed-area plot,0.06; three 0.2 ha subplots,5,Fuel Treatment Effects; Tree Mortality,,,,
2002 - Crater-FB-M,Crater-FB-M,Perrakis,113,2002,42.802901,-122.08235,1480,10,9,RX,Oregon,Fixed-area plot,0.06; three 0.2 ha subplots,5,Fuel Treatment Effects; Tree Mortality,,,,
2002 - Crater-FB-Q,Crater-FB-Q,Perrakis,45,2002,42.802901,-122.08235,1480,10,9,RX,Oregon,Fixed-area plot,0.06; three 0.2 ha subplots,5,Fuel Treatment Effects; Tree Mortality,,,,
2002 - Crater-FB-R,Crater-FB-R,Perrakis,54,2002,42.802901,-122.08235,1480,10,9,RX,Oregon,Fixed-area plot,0.06; three 0.2 ha subplots,5,Fuel Treatment Effects; Tree Mortality,,,,
